date,min_sustained_stress,min_sustained_respiration,stress_measurements,respiration_measurements,deep_sleep_duration,rem_sleep_duration,light_sleep_duration,awake_duration,total_sleep_duration,sleep_efficiency,avg_sleep_stress,min_sleep_stress,max_sleep_stress,avg_sleep_body_battery,min_sleep_body_battery,max_sleep_body_battery
2024-03-16,,,0,0,,,,,,,,,,,,
2024-03-17,,,0,0,,,,,,,,,,,,
2024-03-18,,,0,0,,,,,,,,,,,,
2024-03-19,,,0,0,,,,,,,,,,,,
2024-03-20,,,0,0,,,,,,,,,,,,
2024-03-21,,,0,0,,,,,,,,,,,,
2024-03-22,,,0,0,,,,,,,,,,,,
2024-03-23,,,0,0,,,,,,,,,,,,
2024-03-24,,,0,0,,,,,,,,,,,,
2024-03-25,,,0,0,,,,,,,,,,,,
2024-03-26,,,0,0,,,,,,,,,,,,
2024-03-27,,,0,0,,,,,,,,,,,,
2024-03-28,,,0,0,,,,,,,,,,,,
2024-03-29,,,0,0,,,,,,,,,,,,
2024-03-30,,,0,0,,,,,,,,,,,,
2024-03-31,,,0,0,,,,,,,,,,,,
2024-04-01,,,0,0,,,,,,,,,,,,
2024-04-02,,,0,0,,,,,,,,,,,,
2024-04-03,,,0,0,,,,,,,,,,,,
2024-04-04,,,0,0,,,,,,,,,,,,
2024-04-05,,,0,0,,,,,,,,,,,,
2024-04-06,,,0,0,,,,,,,,,,,,
2024-04-07,,,0,0,,,,,,,,,,,,
2024-04-08,,,0,0,,,,,,,,,,,,
2024-04-09,,,0,0,,,,,,,,,,,,
2024-04-10,,,0,0,,,,,,,,,,,,
2024-04-11,,,0,0,,,,,,,,,,,,
2024-04-12,,,0,0,,,,,,,,,,,,
2024-04-13,,,0,0,,,,,,,,,,,,
2024-04-14,,,0,0,,,,,,,,,,,,
2024-04-15,,,0,0,,,,,,,,,,,,
2024-04-16,,,0,0,,,,,,,,,,,,
2024-04-17,,,0,0,,,,,,,,,,,,
2024-04-18,,,0,0,,,,,,,,,,,,
2024-04-19,,,0,0,,,,,,,,,,,,
2024-04-20,,,0,0,,,,,,,,,,,,
2024-04-21,,,0,0,,,,,,,,,,,,
2024-04-22,,,0,0,,,,,,,,,,,,
2024-04-23,,,0,0,,,,,,,,,,,,
2024-04-24,,,0,0,,,,,,,,,,,,
2024-04-25,,,0,0,,,,,,,,,,,,
2024-04-26,,,0,0,,,,,,,,,,,,
2024-04-27,,,0,0,,,,,,,,,,,,
2024-04-28,,,0,0,,,,,,,,,,,,
2024-04-29,,,0,0,,,,,,,,,,,,
2024-04-30,,,0,0,,,,,,,,,,,,
2024-05-01,,,0,0,,,,,,,,,,,,
2024-05-02,,,0,0,,,,,,,,,,,,
2024-05-03,,,0,0,,,,,,,,,,,,
2024-05-04,,,0,0,,,,,,,,,,,,
2024-05-05,,,0,0,,,,,,,,,,,,
2024-05-06,,,0,0,,,,,,,,,,,,
2024-05-07,,,0,0,,,,,,,,,,,,
2024-05-08,,,0,0,,,,,,,,,,,,
2024-05-09,,,0,0,,,,,,,,,,,,
2024-05-10,,,0,0,,,,,,,,,,,,
2024-05-11,,,0,0,,,,,,,,,,,,
2024-05-12,,,0,0,,,,,,,,,,,,
2024-05-13,,,0,0,,,,,,,,,,,,
2024-05-14,,,0,0,,,,,,,,,,,,
2024-05-15,,,0,0,,,,,,,,,,,,
2024-05-16,,,0,0,,,,,,,,,,,,
2024-05-17,,,0,0,,,,,,,,,,,,
2024-05-18,,,0,0,,,,,,,,,,,,
2024-05-19,,,0,0,,,,,,,,,,,,
2024-05-20,,,0,0,,,,,,,,,,,,
2024-05-21,,,0,0,,,,,,,,,,,,
2024-05-22,,,0,0,,,,,,,,,,,,
2024-05-23,,,0,0,,,,,,,,,,,,
2024-05-24,,,0,0,,,,,,,,,,,,
2024-05-25,,,0,0,,,,,,,,,,,,
2024-05-26,,,0,0,,,,,,,,,,,,
2024-05-27,,,0,0,,,,,,,,,,,,
2024-05-28,,,0,0,,,,,,,,,,,,
2024-05-29,,,0,0,,,,,,,,,,,,
2024-05-30,,,0,0,,,,,,,,,,,,
2024-05-31,,,0,0,,,,,,,,,,,,
2024-06-01,,,0,0,,,,,,,,,,,,
2024-06-02,,,0,0,,,,,,,,,,,,
2024-06-03,,,0,0,,,,,,,,,,,,
2024-06-04,,,0,0,,,,,,,,,,,,
2024-06-05,,,0,0,,,,,,,,,,,,
2024-06-06,,,0,0,,,,,,,,,,,,
2024-06-07,,,0,0,,,,,,,,,,,,
2024-06-08,,,0,0,,,,,,,,,,,,
2024-06-09,,,0,0,,,,,,,,,,,,
2024-06-10,,,0,0,,,,,,,,,,,,
