date,training_load,totalDistanceMeters,floorsAscendedInMeters,sleepingSeconds,bodyBatteryMostRecentValue,averageStressLevel,restingHeartRate,maxHeartRate,intensityMinutes,activeKilocalories,totalSteps,floorsAscended,5K_prediction,10K_prediction,HalfMarathon_prediction,Marathon_prediction,sleep_score,CTL,ATL,TSB
2024-03-16,144.314697265625,10924.0,85.412,26580.0,30.0,28.0,61.0,169.0,0.0,988.0,16194.0,28.02231,0:19,0:42,1:37,3:48,80.0,3.4,19.2,-15.8
2024-03-17,317.64892578125,20651.0,67.844,29820.0,45.0,22.0,51.0,177.0,0.0,1309.0,19129.0,22.25853,0:19,0:41,1:37,3:47,91.0,10.8,58.9,-48.2
2024-03-18,0.0,4111.0,2.069,27420.0,41.0,20.0,52.0,108.0,0.0,200.0,5241.0,0.67881,0:19,0:41,1:37,3:47,92.0,10.5,51.1,-40.6
2024-03-19,221.16326904296875,15315.0,63.318,20340.0,41.0,23.0,54.0,177.0,0.0,892.0,14736.0,20.77362,0:19,0:41,1:37,3:47,77.0,15.5,73.7,-58.2
2024-03-20,134.08236694335938,13860.0,48.767,28140.0,56.0,16.0,49.0,165.0,0.0,705.0,14544.0,15.99967,0:19,0:41,1:37,3:47,93.0,18.3,81.8,-63.5
2024-03-21,7.605224609375,5852.0,10.515,22680.0,34.0,21.0,51.0,143.0,0.0,437.0,7458.0,3.4498,0:19,0:41,1:37,3:47,76.0,18.0,71.9,-53.9
2024-03-22,209.15269470214844,16458.0,98.659,21720.0,40.0,23.0,57.0,164.0,0.0,918.0,16100.0,32.36844,0:19,0:41,1:37,3:47,65.0,22.5,90.2,-67.6
2024-03-23,9.2838134765625,14142.0,40.792,29400.0,36.0,15.0,49.0,118.0,0.0,617.0,18069.0,13.3832,0:19,0:41,1:37,3:47,92.0,22.2,79.4,-57.2
2024-03-24,268.27392578125,20833.0,21.336,24480.0,51.0,15.0,48.0,179.0,0.0,1110.0,20786.0,7.0,0:19,0:41,1:37,3:47,89.0,28.0,104.5,-76.5
2024-03-25,0.0,1760.0,4.117,31560.0,46.0,13.0,49.0,100.0,0.0,51.0,2249.0,1.35072,0:19,0:42,1:37,3:48,85.0,27.3,90.6,-63.3
2024-03-26,246.29063415527344,16375.0,63.177,24266.0,47.0,15.0,49.0,174.0,0.0,889.0,14965.0,20.72736,0:19,0:41,1:37,3:48,93.0,32.5,111.3,-78.9
2024-03-27,19.300369262695312,3545.0,28.411,21060.0,21.0,15.0,54.0,134.0,0.0,394.0,4530.0,9.32119,0:19,0:41,1:37,3:48,72.0,32.2,99.1,-66.9
2024-03-28,0.0,2233.0,2.154,24060.0,52.0,20.0,53.0,106.0,0.0,86.0,2853.0,0.70669,0:19,0:41,1:37,3:48,65.0,31.4,85.9,-54.5
2024-03-29,301.857177734375,18311.0,22.91,32773.0,51.0,17.0,49.0,171.0,0.0,1083.0,17490.0,7.5164,0:19,0:41,1:37,3:48,90.0,37.8,114.7,-76.9
