Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-02-16 00:20:11,,UTC+01:00,2025-02-16 12:10:38,2025-02-16 15:33:51,203,Running,20.5,2657.0,181,153,7,14,52,26,0,false,,,
2025-02-15 00:50:31,2025-02-16 00:20:11,UTC+01:00,2025-02-15 09:03:45,2025-02-15 10:18:03,74,Weightlifting,5.4,160.0,132,94,24,0,0,0,0,false,,,
2025-02-14 00:15:44,2025-02-15 00:50:31,UTC+01:00,2025-02-14 07:03:49,2025-02-14 07:57:44,53,Running,13.5,641.0,171,147,4,52,43,1,0,false,,,
2025-02-11 23:40:50,2025-02-13 00:09:13,UTC+01:00,2025-02-12 07:38:36,2025-02-12 08:24:01,45,Running,14.8,648.0,182,159,0,9,50,40,1,false,,,
2025-02-11 23:40:50,2025-02-13 00:09:13,UTC+01:00,2025-02-12 06:41:36,2025-02-12 07:34:32,52,Weightlifting,7.8,284.0,158,110,35,22,3,0,0,false,,,
2025-02-10 23:44:23,2025-02-11 23:40:50,UTC+01:00,2025-02-11 06:58:53,2025-02-11 08:00:31,61,Running,13.5,654.0,177,141,23,27,40,8,0,false,,,
2025-02-09 00:13:31,2025-02-09 22:57:16,UTC+01:00,2025-02-09 11:56:46,2025-02-09 12:49:54,53,Weightlifting,5.1,120.0,144,97,28,0,0,0,0,false,,,
2025-02-07 23:58:57,2025-02-09 00:13:31,UTC+01:00,2025-02-08 10:44:16,2025-02-08 13:32:26,168,Running,20.5,2344.0,187,157,2,8,49,40,1,false,,,
2025-02-07 23:58:57,2025-02-09 00:13:31,UTC+01:00,2025-02-08 10:03:26,2025-02-08 10:14:02,10,Weightlifting,4.1,25.0,124,97,34,0,0,0,0,false,,,
2025-02-06 23:55:53,2025-02-07 23:58:57,UTC+01:00,2025-02-07 19:38:05,2025-02-07 20:33:30,55,Running,15.2,752.0,180,155,2,12,57,29,0,false,,,
2025-02-06 23:55:53,2025-02-07 23:58:57,UTC+01:00,2025-02-07 06:42:28,2025-02-07 07:47:10,64,Weightlifting,4.7,122.0,147,87,17,0,0,0,0,false,,,
2025-02-04 23:44:40,2025-02-05 23:43:32,UTC+01:00,2025-02-05 06:54:21,2025-02-05 07:46:09,51,Weightlifting,5.2,131.0,147,95,25,3,0,0,0,false,,,
2025-02-04 00:14:57,2025-02-04 23:44:40,UTC+01:00,2025-02-04 19:11:50,2025-02-04 20:11:25,59,Running,15.6,800.0,184,155,5,7,48,39,1,false,,,
2025-02-02 23:45:03,2025-02-04 00:14:57,UTC+01:00,2025-02-03 07:09:43,2025-02-03 07:56:27,46,Running,13.8,588.0,185,151,7,27,37,28,1,false,,,
2025-02-02 00:16:02,2025-02-02 23:45:03,UTC+01:00,2025-02-02 18:45:52,2025-02-02 19:57:54,72,Weightlifting,5.6,162.0,140,97,28,0,0,0,0,false,,,
2025-02-01 01:41:18,2025-02-02 00:16:02,UTC+01:00,2025-02-01 13:53:43,2025-02-01 17:48:02,234,Running,20.6,2952.0,192,151,8,14,51,25,0,false,,,
2025-01-30 23:03:54,2025-02-01 01:41:18,UTC+01:00,2025-01-31 06:42:10,2025-01-31 07:41:47,59,Weightlifting,5.0,120.0,144,92,25,0,0,0,0,false,,,
2025-01-28 23:08:01,2025-01-30 00:34:24,UTC+01:00,2025-01-29 19:43:25,2025-01-29 20:39:56,56,Running,15.7,792.0,184,157,0,4,66,28,2,false,,,
2025-01-28 23:08:01,2025-01-30 00:34:24,UTC+01:00,2025-01-29 06:46:12,2025-01-29 07:45:45,59,Weightlifting,5.6,157.0,144,95,26,3,0,0,0,false,,,
2025-01-28 00:15:28,2025-01-28 23:08:01,UTC+01:00,2025-01-28 07:23:17,2025-01-28 08:10:46,47,Running,14.0,619.0,177,153,2,19,66,13,0,false,,,
2025-01-26 23:13:30,2025-01-28 00:15:28,UTC+01:00,2025-01-27 21:16:41,2025-01-27 21:43:51,27,Weightlifting,4.1,34.0,113,85,1,0,0,0,0,false,,,
2025-01-26 00:03:52,2025-01-26 23:13:30,UTC+01:00,2025-01-26 10:33:18,2025-01-26 12:05:47,92,Running,18.9,1391.0,186,163,0,2,38,58,2,false,,,
